Item Code,Item Name,Item Group,Item category,Item Sub-Category,
MDCR-0046-RENEWSYS,550 Wp Mono Non DCR-RENEWSYS,Non DCR,,,
MDCR-0030-RENEWSYS,545 Wp Mono Bifacial Non DCR-RENEWSYS,Non DCR,,,
MDCR-0026-Renew,545 Wp Mono Bifacial DCR-Renew,DCR,Module,Mono Bifacial DCR (non Adani),
ACDB-1866-ABB,AC ELCB 63A/2P-ABB,ACDB,Junction Box,ACDB,
COLU-3822,Column 3P 8FT Back Medium Gen 2 (190x145x15x3 2677mm),Column,Prefab MMS,Column Gen 2,
COLU-3423,Column 3P 4FT Back Heavy Gen 2 (211x105x20x3 2049mm),Column,,,
COLU-3413,Column 3P 4FT Front Heavy Gen 2 (201x97x20x3 1404mm),Column,,,
COLU-3422,Column 3P 4FT Back Medium Gen 2 (155x95x15x3 2049mm),Column,,,
COLU-3412,Column 3P 4FT Front Medium Gen 2 (151x91x15x3 1404mm),Column,,,
COLU-3421,Column 3P 4FT Back Light Gen 2 (120x80x15x3 2049mm),Column,Prefab MMS,Column Gen 2,
COLU-3411,Column 3P 4FT Front Light Gen 2 (117x77x15x3 1404mm),Column,Prefab MMS,Column Gen 2,
COLU-2423,Column 2P 4FT Back Heavy Gen 2 (172x103x20x2 1724.5mm),Column,Prefab MMS,Column Gen 2,
COLU-2413,Column 2P 4FT Front Heavy Gen 2 (168x100x20x2 1339mm),Column,Prefab MMS,Column Gen 2,
COLU-2422,Column 2P 4FT Back Medium Gen 2 (139x87x15x2 1724.5mm),Column,Prefab MMS,Column Gen 2,
COLU-2412,Column 2P 4FT Front Medium Gen 2 (137x85x15x2 1339mm),Column,Prefab MMS,Column Gen 2,
COLU-2421,Column 2P 4FT Back Light Gen 2 (119x74x15x2 1725mm),Column,Prefab MMS,Column Gen 2,
COLU-2411,Column 2P 4FT Front Light Gen 2 (117x72x15x2 1339mm),Column,Prefab MMS,Column Gen 2,
COLU-1420,Column 1P 4FT Back Gen 2 (L-angle 1467 mm),Column,Prefab MMS,Column Gen 2,
COLU-2422,Column 2P 4FT Back Medium Gen 2 (139x87x15x2 1724.5mm),Column,Prefab MMS,Column Gen 2,
COLU-2412,Column 2P 4FT Front Medium Gen 2 (137x85x15x2 1339mm),Column,Prefab MMS,Column Gen 2,
CSLF-0066,Sleeves-35mm for 300 sqmm cable - Black,Sleeves,,,
CSLF-0065,Sleeves-35mm for 300 sqmm cable - Blue,Sleeves,,,
CSLF-0064,Sleeves-35mm for 300 sqmm cable - Yellow,Sleeves,,,
CSLF-0063,Sleeves-35mm for 300 sqmm cable - Red,Sleeves,,,
CSLF-0062,Sleeves-30mm for 185 sqmm to 240 sqmm cable - Black,Sleeves,,,
CSLF-0061,Sleeves-30mm for 185 sqmm to 240 sqmm cable - Blue,Sleeves,,,
CSLF-0060,Sleeves-30mm for 185 sqmm to 240 sqmm cable - Yellow,Sleeves,,,
CSLF-0059,Sleeves-30mm for 185 sqmm to 240 sqmm cable - Red,Sleeves,,,
